noise,avg accuracy,Sigmoid,SquaredError
0,50.5,50.96,0.21
0.005,51,50.79,0.04
0.01,51,50.62,0.15
0.015,51,50.43,0.33
0.02,49.33,50.22,0.78
0.025,51.67,49.99,2.8
0.03,51.5,49.75,3.06
0.035,48.83,49.49,0.43
0.04,49.33,49.2,0.02
0.045,48,48.9,0.8
0.05,48.83,48.57,0.07
0.075,48.67,46.51,4.67
0.1,44.5,43.63,0.75
0.125,38.83,39.81,0.96
0.15,30.5,35.05,20.66
0.175,31,29.55,2.09
0.2,22.83,23.77,0.88
0.225,20.67,18.23,5.94
0.25,12.33,13.39,1.11
0.275,11.5,9.48,4.1
0.3,8,6.52,2.19
0.325,4.17,4.39,0.05
0.35,3.5,2.91,0.34
0.375,2.5,1.91,0.34
0.4,2.17,1.25,0.84
0.425,2,0.81,1.41
0.45,2,0.53,2.17
0.475,1,0.34,0.44
0.5,0,0.22,0.05
1,0,0,0
